Country,Tariff_Year,HS_Family,Average_Tariff,Free_Trade_Agreement_with_US,European_Union
United States,2015,02,4.50,,No
United States,2015,07,8.66,,No
United States,2015,08,3.43,,No
United States,2015,09,0.26,,No
United States,2015,10,1.53,,No
United States,2015,11,3.75,,No
United States,2015,14,1.11,,No
United States,2015,15,3.48,,No
United States,2015,16,3.14,,No
United States,2015,17,5.84,,No
United States,2015,18,3.18,,No
United States,2015,19,5.40,,No
United States,2015,20,10.84,,No
United States,2015,22,1.80,,No
United States,2015,24,204.98,,No
United States,2015,30,0.22,,No
United States,2015,40,1.54,,No
United States,2015,47,0.00,,No
United States,2015,72,0.31,,No
United States,2015,73,1.21,,No
United States,2015,87,3.38,,No
United States,2015,94,1.67,,No
United States,2015,95,2.04,,No
United States,2014,02,4.50,,No
United States,2014,07,8.66,,No
United States,2014,08,3.43,,No
United States,2014,09,0.26,,No
United States,2014,10,1.53,,No
United States,2014,11,3.75,,No
United States,2014,14,1.11,,No
United States,2014,15,3.48,,No
United States,2014,16,3.14,,No
United States,2014,17,5.84,,No
United States,2014,18,3.18,,No
United States,2014,19,5.40,,No
United States,2014,20,10.84,,No
United States,2014,22,1.80,,No
United States,2014,24,204.98,,No
United States,2014,30,0.22,,No
United States,2014,40,1.54,,No
United States,2014,47,0.00,,No
United States,2014,72,0.31,,No
United States,2014,73,1.21,,No
United States,2014,87,3.38,,No
United States,2014,94,1.67,,No
United States,2014,95,2.04,,No
United States,2013,02,4.50,,No
United States,2013,07,8.66,,No
United States,2013,08,3.43,,No
United States,2013,09,0.26,,No
United States,2013,10,1.53,,No
United States,2013,11,3.75,,No
United States,2013,14,1.11,,No
United States,2013,15,3.48,,No
United States,2013,16,3.14,,No
United States,2013,17,5.84,,No
United States,2013,18,3.18,,No
United States,2013,19,5.40,,No
United States,2013,20,10.84,,No
United States,2013,22,1.80,,No
United States,2013,24,204.98,,No
United States,2013,30,0.22,,No
United States,2013,40,1.54,,No
United States,2013,47,0.00,,No
United States,2013,72,0.31,,No
United States,2013,73,1.21,,No
United States,2013,87,3.38,,No
United States,2013,94,1.67,,No
United States,2013,95,2.04,,No
United States,2012,02,4.50,,No
United States,2012,07,8.66,,No
United States,2012,08,3.43,,No
United States,2012,09,0.26,,No
United States,2012,10,1.53,,No
United States,2012,11,3.75,,No
United States,2012,14,1.11,,No
United States,2012,15,3.48,,No
United States,2012,16,3.14,,No
United States,2012,17,5.84,,No
United States,2012,18,3.18,,No
United States,2012,19,5.40,,No
United States,2012,20,11.19,,No
United States,2012,22,1.80,,No
United States,2012,24,204.98,,No
United States,2012,30,0.22,,No
United States,2012,40,1.54,,No
United States,2012,47,0.00,,No
United States,2012,72,0.31,,No
United States,2012,73,1.21,,No
United States,2012,87,3.38,,No
United States,2012,94,1.67,,No
United States,2012,95,2.04,,No
United States,2011,02,4.48,,No
United States,2011,07,8.53,,No
United States,2011,08,4.09,,No
United States,2011,09,0.32,,No
United States,2011,10,2.16,,No
United States,2011,11,3.75,,No
United States,2011,14,1.11,,No
United States,2011,15,3.48,,No
United States,2011,16,4.16,,No
United States,2011,17,5.84,,No
United States,2011,18,3.18,,No
United States,2011,19,5.40,,No
United States,2011,20,11.05,,No
United States,2011,22,1.80,,No
United States,2011,24,204.98,,No
United States,2011,30,0.22,,No
United States,2011,40,1.54,,No
United States,2011,47,0.00,,No
United States,2011,72,0.31,,No
United States,2011,73,1.23,,No
United States,2011,87,3.33,,No
United States,2011,94,1.67,,No
United States,2011,95,2.04,,No
United States,2010,02,4.48,,No
United States,2010,07,8.53,,No
United States,2010,08,4.09,,No
United States,2010,09,0.32,,No
United States,2010,10,2.16,,No
United States,2010,11,3.75,,No
United States,2010,14,1.11,,No
United States,2010,15,3.48,,No
United States,2010,16,4.16,,No
United States,2010,17,5.84,,No
United States,2010,18,3.18,,No
United States,2010,19,5.40,,No
United States,2010,20,11.05,,No
United States,2010,22,1.80,,No
United States,2010,24,204.98,,No
United States,2010,30,0.22,,No
United States,2010,40,1.56,,No
United States,2010,47,0.00,,No
United States,2010,72,0.31,,No
United States,2010,73,1.23,,No
United States,2010,87,3.33,,No
United States,2010,94,1.67,,No
United States,2010,95,2.04,,No
Turkey,2020,02,134.93,No,No
Turkey,2020,07,22.55,No,No
Turkey,2020,08,46.06,No,No
Turkey,2020,09,37.65,No,No
Turkey,2020,10,53.32,No,No
Turkey,2020,11,37.30,No,No
Turkey,2020,14,0.00,No,No
Turkey,2020,15,18.20,No,No
Turkey,2020,16,78.98,No,No
Turkey,2020,17,103.27,No,No
Turkey,2020,18,7.03,No,No
Turkey,2020,19,11.88,No,No
Turkey,2020,20,53.83,No,No
Turkey,2020,22,23.31,No,No
Turkey,2020,24,38.79,No,No
Turkey,2020,30,0.36,No,No
Turkey,2020,40,2.38,No,No
Turkey,2020,47,0.00,No,No
Turkey,2020,72,6.11,No,No
Turkey,2020,73,1.92,No,No
Turkey,2020,87,6.23,No,No
Turkey,2020,94,2.57,No,No
Turkey,2020,95,2.59,No,No
Turkey,2019,02,134.93,No,No
Turkey,2019,07,22.55,No,No
Turkey,2019,08,46.06,No,No
Turkey,2019,09,37.65,No,No
Turkey,2019,10,53.32,No,No
Turkey,2019,11,37.30,No,No
Turkey,2019,14,0.00,No,No
Turkey,2019,15,18.20,No,No
Turkey,2019,16,78.98,No,No
Turkey,2019,17,103.27,No,No
Turkey,2019,18,7.03,No,No
Turkey,2019,19,11.88,No,No
Turkey,2019,20,53.83,No,No
Turkey,2019,22,23.31,No,No
Turkey,2019,24,38.79,No,No
Turkey,2019,30,0.36,No,No
Turkey,2019,40,2.38,No,No
Turkey,2019,47,0.00,No,No
Turkey,2019,72,6.11,No,No
Turkey,2019,73,1.92,No,No
Turkey,2019,87,6.23,No,No
Turkey,2019,94,2.57,No,No
Turkey,2019,95,2.59,No,No
Turkey,2018,02,139.52,No,No
Turkey,2018,07,20.97,No,No
Turkey,2018,08,48.10,No,No
Turkey,2018,09,37.31,No,No
Turkey,2018,10,65.11,No,No
Turkey,2018,11,36.55,No,No
Turkey,2018,14,0.00,No,No
Turkey,2018,15,17.28,No,No
Turkey,2018,16,78.95,No,No
Turkey,2018,17,102.40,No,No
Turkey,2018,18,8.99,No,No
Turkey,2018,19,12.60,No,No
Turkey,2018,20,54.22,No,No
Turkey,2018,22,20.41,No,No
Turkey,2018,24,39.58,No,No
Turkey,2018,30,0.00,No,No
Turkey,2018,40,2.46,No,No
Turkey,2018,47,0.00,No,No
Turkey,2018,72,6.50,No,No
Turkey,2018,73,1.92,No,No
Turkey,2018,87,5.84,No,No
Turkey,2018,94,2.19,No,No
Turkey,2018,95,2.34,No,No
Turkey,2017,02,139.52,No,No
Turkey,2017,07,20.97,No,No
Turkey,2017,08,48.10,No,No
Turkey,2017,09,37.31,No,No
Turkey,2017,10,65.11,No,No
Turkey,2017,11,36.55,No,No
Turkey,2017,14,0.00,No,No
Turkey,2017,15,17.28,No,No
Turkey,2017,16,78.95,No,No
Turkey,2017,17,102.40,No,No
Turkey,2017,18,8.99,No,No
Turkey,2017,19,12.60,No,No
Turkey,2017,20,54.22,No,No
Turkey,2017,22,20.41,No,No
Turkey,2017,24,39.58,No,No
Turkey,2017,30,0.00,No,No
Turkey,2017,40,2.46,No,No
Turkey,2017,47,0.00,No,No
Turkey,2017,72,6.50,No,No
Turkey,2017,73,1.92,No,No
Turkey,2017,87,5.84,No,No
Turkey,2017,94,2.19,No,No
Turkey,2017,95,2.34,No,No
Turkey,2016,02,139.52,No,No
Turkey,2016,07,20.97,No,No
Turkey,2016,08,48.10,No,No
Turkey,2016,09,37.31,No,No
Turkey,2016,10,65.11,No,No
Turkey,2016,11,36.55,No,No
Turkey,2016,14,0.00,No,No
Turkey,2016,15,17.28,No,No
Turkey,2016,16,78.95,No,No
Turkey,2016,17,102.40,No,No
Turkey,2016,18,8.99,No,No
Turkey,2016,19,12.60,No,No
Turkey,2016,20,54.22,No,No
Turkey,2016,22,20.41,No,No
