Carrier,Carrier_Clustered,carrier_size
TRANS-AMERICA EXPRESS,TRANS-AMERICA EXPRESS,small
TRANS-POWER INTERNATIONAL LOGISTICS CO LTD,TRANS-POWER INTERNATIONAL LOGISTICS CO LTD,small
TRANS-UNION GROUP NY CO LTD,TRANS-UNION GROUP NY CO LTD,small
TRANSUNION AMERICA INC,TRANS-UNION GROUP NY CO LTD,small
TRANSAMERICA LOGISTIC,TRANSAMERICA LOGISTIC,medium
TRANSAMERICA LOGISTIC INC,TRANSAMERICA LOGISTIC,medium
TRANSATLANTIC LINES LLC,TRANSATLANTIC LINES LLC,medium
TRANSATLANTIC SHIPPING AB,TRANSATLANTIC LINES LLC,medium
TRANSCARIBBEAN MARITIME CORP,TRANSCARIBBEAN MARITIME CORP,medium
TRANSCON LOGISTIC SERVICES INC,TRANSCON LOGISTIC SERVICES INC,micro
TRANSCON SHIPPING COMPANY INC,TRANSCON SHIPPING COMPANY INC,medium
TRANSCONTAINER LTD,TRANSCONTAINER LTD,large
TRANSEAS EXPRESS (D J POWERS COMPANY INC D/B/A),TRANSEAS EXPRESS (D J POWERS COMPANY INC D/B/A),medium
TRANSGAS SHIPPING LINES,TRANSGAS SHIPPING LINES,small
TRANSGULF LLC,TRANSGULF LLC,large
TRANSITAINER LLC,TRANSITAINER LLC,small
TRANSITEX TRANSITOS DE EXTREMADURA USA CORP,TRANSITEX TRANSITOS DE EXTREMADURA USA CORP,small
TRANSLINK SHIPPING INC,TRANSLINK INTERNATIONAL (OVERSEAS) LTD,huge
TRANSLINK INTERNATIONAL (OVERSEAS) LTD,TRANSLINK INTERNATIONAL (OVERSEAS) LTD,huge
TRANSMARITIMA S A,TRANSMARITIMA S A,medium
TRANSMODAL CORPORATION,TRANSMODAL CORPORATION,large
TRANSMODAL INTL FREIGHT CONSULTANTS INC,TRANSMODAL INTERNATIONAL INC,small
TRANSMODAL INTERNATIONAL INC,TRANSMODAL INTERNATIONAL INC,small
TRANSNATION SHIPPING,TRANSNATION SHIPPING,micro
TRANSOCEAN DEEPWATER DRILLING INC,TRANSOCEAN DEEPWATER DRILLING INC,small
TRANSPAT GILLES BOULET JUNIOR INC,TRANSPAT GILLES BOULET JUNIOR INC,small
TRANSPETROL MARITIME SERVICES LTD,TRANSPETROL MARITIME SERVICES LTD,medium
TRANSPLACE INTERNATIONAL INC,TRANSPLACE INTERNATIONAL INC,medium
TRANSWAYS LOGISTICS INTERNATIONAL INC,TRANSWAYS LOGISTICS INTERNATIONAL INC,micro
TRANSWELL LOGISTICS CO LTD,TRANSWELL LOGISTICS CO LTD,medium
TRASPORTI INTERNAZIONALI TRANSMEC S P A,TRASPORTI INTERNAZIONALI TRANSMEC S P A,medium
TREVERTON LTD,TREVERTON LTD,medium
TRI-NET (JAPAN) INC,TRI-NET (JAPAN) INC,large
TRI-NET (JAPAN) INC (BULK TRANSPORT DIVISION),TRI-NET (JAPAN) INC,large
TRINITY SHIPPING LINE S A,TRINITY SHIPPING LINE S A,medium
TRIPATH LOGISTICS PRIVATE LIMITED,TRIPATH LOGISTICS PRIVATE LIMITED,micro
TRIPLE EAGLE CONTAINER LINE LTD,TRIPLE EAGLE CONTAINER LINE LTD,medium
TRIPLE EAGLE LOGISTICS INC,TRIPLE EAGLE CONTAINER LINE LTD,medium
TRITHORN BULK A/S,TRITHORN BULK A/S,large
TRIUMPH LINK LOGISTICS LTD,TRIUMPH LINK LOGISTICS LTD,large
TROPICAL FRUIT AMERICAS LLC,TROPICAL FRUIT AMERICAS LLC,large
TROPICAL SHIPPING & CONSTRUCTION CO,TROPICAL SHIPPING & CONSTRUCTION CO,huge
TRUST FREIGHT SERVICES INC,TRUST FREIGHT SERVICES INC,small
TS LINES,TS LINES,small
TS LINES LTD,TS LINES LTD,medium
TSC CONTAINER FREIGHT,TSC CONTAINER FREIGHT,medium
TST N V,TST N V,medium
TT OCEAN LOGISTICS LLC,TT OCEAN LOGISTICS LLC,medium
TTMI SARL,TTMI SARL,medium
TTS TANKER TRANSPORT SERVICES BV,TTS TANKER TRANSPORT SERVICES BV,small
TTS WORLDWIDE LLC,TTS WORLDWIDE LLC,small
TUI CRUISES GMBH,TUI CRUISES GMBH,micro
TURKON CONTAINER TRANSPORTATION & SHIPPING,TURKON CONTAINER TRANSPORTATION & SHIPPING,large
TUSCOR LLOYDS UK LTD,TUSCOR LLOYDS UK LTD,micro
TWENTY FOUR (24) VISION CHARTERING SOLUTIONS,TWENTY FOUR (24) VISION CHARTERING SOLUTIONS,medium
TWO ZERO CUBE (20CUBE) LOGISTICS WORLDWIDE LLC,TWO ZERO CUBE (20CUBE) LOGISTICS WORLDWIDE LLC,small
U S GROUP CONSOLIDATOR INC,U S GROUP CONSOLIDATOR INC,medium
U S INTERMODAL MARITIME INC,U S INTERMODAL MARITIME INC,small
U S NORTHWEST EXPRESS,U S NORTHWEST EXPRESS,small
U S SHIPPING INC,U S SHIPPING INC,medium
U-SEA BULK,U-SEA BULK,huge
U-SHIP MARITIME SERVICES INC,U-SHIP MARITIME SERVICES INC,large
UAL UNIVERSAL AMERICAS LINES B V,UAL UNIVERSAL AMERICAS LINES B V,medium
UBV OCEAN & AIR SRL,UBV OCEAN & AIR SRL,small
UCB LOGISTICS INC,UCB LOGISTICS INC,small
UFS LOGISTICS INC,UFS LOGISTICS INC,small
"ULTIMATE FREIGHT MANAGEMENT, THE","ULTIMATE FREIGHT MANAGEMENT, THE",medium
ULTRAGAS APS,ULTRAGAS APS,medium
UNICARGO TRANSPORT,UNICARGO TRANSPORT,huge
UNICO LOGISTICS USA INC,UNICO LOGISTICS USA INC,small
UNICOM MANAGEMENT SERVICES (CYPRUS) LTD,UNICOM MANAGEMENT SERVICES (CYPRUS) LTD,micro
UNID OCEAN TRANSPORT INC,UNID OCEAN TRANSPORT INC,medium
UNIGAS INTERNATIONAL,UNIGAS INTERNATIONAL,medium
UNINATIONS CORPORATION,UNINATIONS CORPORATION,micro
UNIOCEAN GROUP LLC,UNIOCEAN GROUP LLC,small
UNION BULK A/S,UNION BULK A/S,medium
UNION LOGISTICS INC,UNION LOGISTICS INC,small
UNIPAC SHIPPING INC,UNIPAC SHIPPING INC,large
UNIPER GLOBAL COMMODITIES SE,UNIPER GLOBAL COMMODITIES SE,medium
UNIQUE LOGISTICS INTERNATIONAL (H K) LTD,UNIQUE LOGISTICS INTERNATIONAL (H K) LTD,large
UNISHIPPING MARITIME SERVICES,UNISHIPPING MARITIME SERVICES,large
UNISTAR LINE,UNISTAR LINE,small
UNITAF PTE LIMITED MALTA,UNITAF PTE LIMITED MALTA,medium
UNITANKERS A/S,UNITANKERS A/S,large
UNITED ABACO SHIPPING,UNITED ABACO SHIPPING,micro
UNITED ARAB CHEMICAL CARRIERS LIMITED,UNITED ARAB CHEMICAL CARRIERS LIMITED,medium
UNITED ARAB SHIPPING CO SAG,UNITED ARAB SHIPPING CO SAG,huge
UNITED BULK CARRIERS (USA),UNITED BULK CARRIERS (USA),large
UNITED BULK CARRIERS INT S A LUXEMBOURG,UNITED BULK CARRIERS (USA),large
UNITED CARGO LINES,UNITED CARGO LINES,large
UNITED CARGO MANAGEMENT INC,UNITED CARGO LINES,large
UNITED GLOBAL SERVICES (NY) CORP,UNITED GLOBAL SERVICES (NY) CORP,micro
UNITED GLOBE CARGO INC,UNITED GLOBAL SERVICES (NY) CORP,micro
UNITED GROUPERS,UNITED GROUPERS,micro
UNITED HARBOUR LOGISTICS LLC,UNITED HARBOUR LOGISTICS,medium
UNITED HARBOUR LOGISTICS,UNITED HARBOUR LOGISTICS,medium
UNITED HEAVY LIFT,UNITED HEAVY LIFT,medium
UNITED LOGISTICS (LAX) INC,UNITED LOGISTICS (LAX) INC,medium
UNITED LOGISTICS GROUP INC,UNITED LOGISTICS (LAX) INC,medium
UNITED OCEAN INTERNATIONAL LOGISTICS (GUANGZHOU) CO LTD,UNITED OCEAN INTERNATIONAL LOGISTICS (GUANGZHOU) CO LTD,small
UNITED SHIPPING LINES,UNITED SHIPPING LINES,small
UNITED SPEED LOGISTICS LTD,UNITED SPEED LOGISTICS LTD,small
UNITED STONE GLOBAL LOGISTICS INC,UNITED STONE GLOBAL LOGISTICS INC,medium
UNITED SUNFINE LOGISTICS,UNITED SUNFINE LOGISTICS,medium
UNITED TRADE LOGISTIC INC,UNITED TRADE LOGISTIC INC,small
UNITEX INTERNATIONAL FORWARDING (HK) LIMITED,UNITEX INTERNATIONAL FORWARDING (HK) LIMITED,micro
UNIVERSAL AFRICA LINES N V (N A),UNIVERSAL AFRICA LINES N V (N A),large
UNIVERSAL CARGO MANAGEMENT INC,UNIVERSAL CARGO MANAGEMENT INC,medium
UNIVERSAL CONCORD INC,UNIVERSAL CONCORD INC,small
UNIVERSAL FREIGHT SYSTEM,UNIVERSAL FREIGHT SYSTEM,small
UNIVERSAL POWER SHIPPING LIMITED,UNIVERSAL POWER SHIPPING LIMITED,medium
UNIVERSAL REEFERS LIMITED,UNIVERSAL REEFERS LIMITED,medium
UNIVERSAL SEA & AIR CO LTD,UNIVERSAL SEA & AIR CO LTD,medium
UNIVERSAL SHIPPING INC,UNIVERSAL SHIPPING INC,large
UNIVERSAL SOLUTIONS GROUP LLC,UNIVERSAL SOLUTIONS GROUP LLC,large
UNIWORLD LOGISTICS PTE LTD,UNIWORLD LOGISTICS PTE LTD,small
UNSWORTH GLOBAL LOGISTICS,UNSWORTH,micro
UNSWORTH,UNSWORTH,micro
UNSWORTH INTERNATIONAL CONTAINERLINE,UNSWORTH,micro
UP SWING AGENCY LTD,UP SWING AGENCY LTD,micro
UPS ASIA GROUP PTE LTD,UPS ASIA GROUP PTE LTD,huge
UPS EUROPE SPRL,UPS EUROPE SPRL,medium
UPS EUROPE SRL,UPS EUROPE SPRL,medium
UPS OCEAN FREIGHT SERVICES INC,UPS OCEAN FREIGHT SERVICES INC,medium
UQI SHIPPING INC,UQI SHIPPING INC,small
US CARGO LINE INC,US CARGO LINE INC,micro
US OCEAN LLC,US OCEAN LLC,medium
US PACIFIC TRANSPORT INC,US PACIFIC TRANSPORT INC,large
US UNITED LOGISTICS (NINGBO) INC,US UNITED LOGISTICS (NINGBO) INC,large
USA MARITIME ENTERPRISES INC,USA MARITIME ENTERPRISES INC,micro
USO INTERNATIONAL LOGISTICS (NINGBO) CO LTD,USO INTERNATIONAL LOGISTICS (NINGBO) CO LTD,small
UT FREIGHT FORWARDER CO LTD,UT FREIGHT FORWARDER CO LTD,small
UTI UNITED STATES INC,UTI UNITED STATES INC,huge
UWL INC,UWL INC,small
UWL LINES PTE LTD,UWL LINES PTE LTD,small
V LOGISTICS INC,V LOGISTICS INC,small
V SHIPPING INC,V SHIPPING INC,medium
V SHIPS LIMITED,V SHIPS LIMITED,medium
VALERO MARKETING & SUPPLY COMPANY,VALERO MARKETING & SUPPLY COMPANY,small
VALUEWAY GLOBAL LOGISTICS INC,VALUEWAY GLOBAL LOGISTICS INC,micro
VANGUARD SHIPPING (GREAT LAKES) LTD,VANGUARD SHIPPING (GREAT LAKES) LTD,small
VANTAGE LOGISTICS CORPORATION,VANTAGE LOGISTICS CORPORATION,large
VANTEC CORPORATION,VANTEC CORPORATION,small
VANTEC HTS FORWARDING LTD,VANTEC HTS FORWARDING LTD,large
VARAMAR LTD,VARAMAR LTD,medium
VARNA SHIPPING AND TRADING LTD,VARNA SHIPPING AND TRADING LTD,medium
VASCO SHIPMANAGEMENT S A,VASCO SHIPMANAGEMENT S A,small
"VEDER, ANTHONY CHARTERING B V","VEDER, ANTHONY CHARTERING B V",small
VENEZOLANA DE FLETAMENTOS CAVEFLE LLC,VENEZOLANA DE FLETAMENTOS CAVEFLE LLC,micro
VILDEN GLOBAL TRADE SOLUTIONS SDN BHD,VILDEN GLOBAL TRADE SOLUTIONS SDN BHD,large
VIN WORLDWIDE TRANSPORT LLC,VIN WORLDWIDE TRANSPORT LLC,micro
VINPAC CONTAINER LINE (L A) INC,VINPAC CONTAINER LINE (L A) INC,medium
VIO CARGO LINE,VIO CARGO LINE,medium
VISTA GLOBAL CONTAINER INC,VISTA GLOBAL CONTAINER INC,small
VISTA LINES,VISTA LINES,large
VISTA SHIPPING LTD,VISTA SHIPPING LTD,medium
VIZION LOGISTICS LLC,VIZION LOGISTICS LLC,small
VOLKSWAGEN KONZERNLOGISTIK GMBH & CO OHG,VOLKSWAGEN KONZERNLOGISTIK GMBH & CO OHG,huge
VOLKSWAGEN LOGISTICS GMBH & CO OHG,VOLKSWAGEN KONZERNLOGISTIK GMBH & CO OHG,huge
VOLTRANS LOGISTICS CO LTD,VOLTRANS LOGISTICS CO LTD,medium
W & L INTERNATIONAL EXPRESS INC,W & L INTERNATIONAL EXPRESS INC,medium
W BOCKSTIEGEL REEDEREI GMBH & CO KG,W BOCKSTIEGEL REEDEREI GMBH & CO KG,small
W C T CORP,W C T CORP,medium
W LOGISTICS INC,W LOGISTICS INC,small
WAGENBORG SHIPPING B V,WAGENBORG SHIPPING B V,huge
WALLEM GMBH & CO KG,WALLEM GMBH & CO KG,small
WALLENIUS WILHELMSEN LOGISTICS AMERICAS LLC,WALLENIUS WILHELMSEN LOGISTICS AMERICAS LLC,huge
WALMAY LOGISTICS INC,WALMAY LOGISTICS INC,medium
WALSH INTERNATIONAL,WALSH INTERNATIONAL,small
WAN HAI LINES LTD,WAN HAI LINES LTD,large
WANDA INTERNATIONAL LOGISTICS CO LTD,WANDA INTERNATIONAL LOGISTICS CO LTD,micro
WATER SPIRIT FREIGHT SERVICES,WATER SPIRIT FREIGHT SERVICES,medium
WATERFRONT SHIPPING COMPANY LIMITED,WATERFRONT SHIPPING COMPANY LIMITED,large
WATERLINK PAKISTAN (PVT) LTD,WATERLINK PAKISTAN (PVT) LTD,small
WATERMAN STEAMSHIP CORPORATION,WATERMAN STEAMSHIP CORPORATION,small
WATERWAYS SHIPPING INC,WATERWAYS SHIPPING INC,micro
WBL CO LTD,WBL CO LTD,micro
WE-CAN INTERNATIONAL LOGISTICS,WE-CAN INTERNATIONAL LOGISTICS,small
WECAN INTERNATIONAL LOGISTICS (USA) INC,WE-CAN INTERNATIONAL LOGISTICS,small
WE-MAY INT'L LOGISTICS CO LTD,WE-MAY INT'L LOGISTICS CO LTD,small
WEBTRANS LOGISTICS INC,WEBTRANS LOGISTICS INC,medium
WECO BULK A/S,WECO BULK A/S,large
WEEKS MARINE INC,WEEKS MARINE INC,micro
WEICHENG SEA & AIR LOGISTICS LTD,WEICHENG SEA & AIR LOGISTICS LTD,micro
WEIDA FREIGHT SYSTEM CO LTD,WEIDA FREIGHT SYSTEM CO LTD,large
WEISS-ROHLIG USA LLC,WEISS-ROHLIG USA LLC,large
WELGROW INTERNATIONAL INC,WELGROW INTERNATIONAL INC,small
WELL PORT CONTAINER LINE INC,WELL PORT CONTAINER LINE INC,small
WELLMAX LOGISTICS COMPANY LTD,WELLMAX LOGISTICS COMPANY LTD,medium
WELLTON EXPRESS INC,WELLTON EXPRESS INC,small
WEN-PARKER LOGISTICS INC,WEN-PARKER LOGISTICS,small
WEN-PARKER LOGISTICS,WEN-PARKER LOGISTICS,small
WERNER GLOBAL LOGISTICS US LLC,WERNER GLOBAL LOGISTICS US LLC,medium
WEST COAST INDUSTRIAL EXPRESS,WEST COAST INDUSTRIAL EXPRESS,micro
WESTAR INTERNATIONAL FORWARDERS LP,WESTAR INTERNATIONAL FORWARDERS LP,medium
WESTERN BULK CARRIERS AS,WESTERN BULK CARRIERS AS,huge
WESTERN BULK CARRIERS KS,WESTERN BULK CARRIERS AS,huge
WESTERN BULK PTE LTD,WESTERN BULK CARRIERS AS,huge
WESTERN LOGISTICS INC,WESTERN LOGISTICS INC,small
WESTERN SHIPPING (HK) LTD,WESTERN SHIPPING (HK) LTD,small
WESTERN SHIPPING AMERICA INC,WESTERN SHIPPING AMERICA INC,medium
WESTERN TOWBOAT COMPANY,WESTERN TOWBOAT COMPANY,large
WESTFAL LARSEN SHIPPING US INC,WESTFAL LARSEN SHIPPING US INC,huge
WESTPORT MARITIME LLC,WESTPORT MARITIME LLC,medium
WESTWIND SHIPPING AND LOGISTICS PRIVATE LIMITED,WESTWIND SHIPPING AND LOGISTICS PRIVATE LIMITED,medium
WESTWOOD SHIPPING LINES INC,WESTWOOD SHIPPING LINES INC,large
WHALE LOGISTICS (USA) INC,WHALE LOGISTICS (USA) INC,small
WHEELSKY LOGISTICS INC,WHEELSKY LOGISTICS INC,small
WHITE SEA NAVIGATION S A,WHITE SEA NAVIGATION S A,medium
WHITE WHALE SHIPPING LTD,WHITE WHALE SHIPPING LTD,small
WHITEHAWK ENTERPRISES LTD,WHITEHAWK ENTERPRISES LTD,medium
WHITWELL INVESTMENTS INC,WHITWELL INVESTMENTS INC,medium
WHM CUSTOM SERVICES INC,WHM CUSTOM SERVICES INC,small
WICE LOGISTICS PUBLIC COMPANY LIMITED,WICE LOGISTICS PUBLIC COMPANY LIMITED,medium
WIDELANE GLOBAL LOGISTICS LTD,WIDELANE GLOBAL LOGISTICS LTD,micro
WIDER LOGISTICS LIMITED,WIDER LOGISTICS LIMITED,medium
WIJNNE BARENDS,WIJNNE BARENDS,small
WILBAR CATTLE CO,WILBAR CATTLE CO,small
WILHELMSEN SHIPS SERVICE INC,WILHELMSEN SHIPS SERVICE INC,large
WILSON EURO CARRIERS AS,WILSON EURO CARRIERS AS,medium
WINAIR LOGISTICS INC,WINAIR LOGISTICS INC,small
WINSYS LOGISTICS INC,WINSYS LOGISTICS INC,small
WINWELL LOGISTICS INC,WINWELL LOGISTICS INC,medium
WISBY SHIPMANAGEMENT AB,WISBY SHIPMANAGEMENT AB,medium
WISE LOGISTICS SOLUTION CO LTD,WISE LOGISTICS SOLUTION CO LTD,small
WOMAR LOGISTICS PTE LTD,WOMAR LOGISTICS PTE LTD,large
WONDER SHIPPING LINE INC,WONDER SHIPPING LINE INC,small
WOODLAND GROUP EXPRESS INC,WOODLAND GROUP EXPRESS INC,micro
WOODLAND INTERNATIONAL TRANSPORT COMPANY,WOODLAND INTERNATIONAL TRANSPORT COMPANY,small
WOOYANG SHIPPING CO LTD,WOOYANG SHIPPING CO LTD,large
WORDTRANS AIR-SEA SERVICE A/S WASO,WORDTRANS AIR-SEA SERVICE A/S WASO,small
WORLDBRIDGE LOGISTICS INC,WORLD BRIDGE LOGISTICS CO LTD,medium
WORLD BRIDGE LOGISTICS CO LTD,WORLD BRIDGE LOGISTICS CO LTD,medium
WORLD CARGO TRANSPORT INC,WORLD CARGO TRANSPORT INC,medium
WORLD COMMERCE SERVICES LLC,WORLD COMMERCE FORWARDING INC,medium
WORLD COMMERCE FORWARDING INC,WORLD COMMERCE FORWARDING INC,medium
WORLD CONSOLIDATORS,WORLD CONSOLIDATORS,small
WORLD DIRECT SHIPPING LLC,WORLD DIRECT SHIPPING LLC,large
WORLD EXPRESS LOGISTICS DEVELOPMENT (CHINA) CO  LTD,WORLD EXPRESS LOGISTICS DEVELOPMENT (CHINA) CO  LTD,micro
WORLD FRANK ENTERPRISES CORP,WORLD FRANK ENTERPRISES CORP,small
WORLD FREIGHT USA INC,WORLD FREIGHT USA INC,micro
WORLD JAGUAR LOGISTICS INC,WORLD JAGUAR LOGISTICS INC,small
WORLD LOGISTICS SERVICE (USA) INC,WORLD LOGISTICS SERVICE (USA) INC,large
WORLD NET LOGISTICS (CHINA) LTD,WORLD NET LOGISTICS (CHINA) LTD,small
WORLD SHIPPING INC,WORLD SHIPPING INC,medium
WORLD WAY INTERNATIONAL INC,WORLD WAY INTERNATIONAL INC,medium
WORLDBRIDGE SHIPPING INC,WORLDBRIDGE SHIPPING INC,large
WORLDCRAFT LOGISTICS LLC,WORLDCRAFT LOGISTICS LLC,micro
WORLDTRANS INTERNATIONAL,WORLDTRANS INTERNATIONAL,small
WORLDTRANS LOGISTICS SERVICES LIMITED,WORLDTRANS LOGISTICS SERVICES LIMITED,large
WORLDWIDE CONTAINER LINE,WORLDWIDE CONTAINER LINE,micro
WORLDWIDE EXPRESS INC,WORLDWIDE EXPRESS INC,micro
WORLDWIDE INVESTMENT CORP,WORLDWIDE INVESTMENT CORP,medium
WORLDWIDE LOGISTICS LTD (WORLDWIDE OCEAN LINE WORLDWIDE LOGISTICS (USA)),WORLDWIDE LOGISTICS (INDIA) PVT LTD,large
WORLDWIDE LOGISTICS CO LTD,WORLDWIDE LOGISTICS (INDIA) PVT LTD,large
WORLDWIDE LOGISTICS (INDIA) PVT LTD,WORLDWIDE LOGISTICS (INDIA) PVT LTD,large
WORTHINGTON BULK LIMITED,WORTHINGTON BULK LIMITED,medium
WSA LINES (INTL) LTD,WSA LINES (INTL) LTD,micro
WTO EXPRESS (USA) CORP,WTO EXPRESS (USA) CORP,medium
WWG CONSOLIDATORS (PRIVATE) LIMITED,WWG CONSOLIDATORS (PRIVATE) LIMITED,micro
WWLP INC,WWLP INC,medium
WYNN EXPRESS CORP,WYNN EXPRESS CORP,medium
XDS LOGISTICS XPRESS DELIVERING SOLUTIONS GMBH & CO KG,XDS LOGISTICS XPRESS DELIVERING SOLUTIONS GMBH & CO KG,micro
XIAMEN EASYSHIP GLOBAL LOGISTICS CO LTD,XIAMEN EASYSHIP GLOBAL LOGISTICS CO LTD,micro
XIAMEN SUPERCHAIN LOGISTICS DEVELOPMENT CO LTD,XIAMEN SUPERCHAIN LOGISTICS DEVELOPMENT CO LTD,small
XO SHIPPING A/S,XO SHIPPING A/S,medium
XPO GLOBAL FORWARDING INC,XPO GLOBAL FORWARDING INC,medium
XPO OCEAN WORLD LINES INC,XPO OCEAN WORLD LINES INC,medium
YAMATO TRANSPORT U S A INC,YAMATO TRANSPORT U S A INC,medium
YANG MING MARINE TRANSPORT CORP,YANG MING MARINE TRANSPORT CORP,huge
YANGTZE NAVIGATION HK CO LTD,YANGTZE NAVIGATION HK CO LTD,medium
YARASHIP AS,YARASHIP AS,medium
YASA TANKER ISLETMECILIGI A S,YASA TANKER ISLETMECILIGI A S,micro
YES LOGISTICS CORP,YES LOGISTICS CORP,large
YICHENG JET-SEA LOGISTICS INC,YICHENG JET-SEA LOGISTICS INC,medium
YINGSHENG GLOBAL LOGISTICS LIMITED,YINGSHENG GLOBAL LOGISTICS LIMITED,small
YIPENG LOGISTICS CO LTD,YIPENG LOGISTICS CO LTD,micro
YIWU JUYI INTERNATIONAL FREIGHT FORWARDING CO LTD,YIWU JUYI INTERNATIONAL FREIGHT FORWARDING CO LTD,small
YM AMAZON SHIPPING LTD,YM AMAZON SHIPPING LTD,medium
YM EVEREST SHIPPING LIMITED,YM EVEREST SHIPPING LIMITED,medium
YM FUJI SHIPPING LIMITED,YM FUJI SHIPPING LIMITED,medium
YONGTAIYUN CHEMICAL LOGISTICS CO LTD,YONGTAIYUN CHEMICAL LOGISTICS CO LTD,micro
YOUNG CHEON LOGISTICS CO LTD,YOUNG CHEON LOGISTICS CO LTD,micro
YOUNG-KO TRANS CO LTD,YOUNG-KO TRANS CO LTD,medium
YOYO LOGIX CO LTD,YOYO LOGIX CO LTD,micro
YRC LOGISTICS GLOBAL LLC,YRC LOGISTICS GLOBAL LLC,medium
YT LOGISTICS CO LTD,YT LOGISTICS CO LTD,small
YUANMAO LOGISTICS,YUANMAO LOGISTICS,small
YUEXIN GLOBAL LOGISTICS CO LTD,YUEXIN GLOBAL LOGISTICS (USA) CO LTD,small
YUEXIN GLOBAL LOGISTICS (USA) CO LTD,YUEXIN GLOBAL LOGISTICS (USA) CO LTD,small
YUSEN AIR & SEA SERVICE (U S A) INC,YUSEN AIR & SEA SERVICE (U S A) INC,large
YUSEN AIR & SEA SERVICE CO LTD,YUSEN AIR & SEA SERVICE (U S A) INC,large
YUSEN LOGISTICS (AMERICAS) INC,YUSEN LOGISTICS (AMERICAS) INC,large
YUSEN LOGISTICS CO LTD,YUSEN LOGISTICS (AMERICAS) INC,large
ZD LOGISTICS CO LTD,ZD LOGISTICS CO LTD,small
ZEAMARINE CARRIER GMBH,ZEAMARINE CARRIER GMBH,large
ZENITH INTERNATIONAL FREIGHT LTD,ZENITH INTERNATIONAL FREIGHT LTD,small
ZEYCAN MARITIME LTD,ZEYCAN MARITIME LTD,small
ZHEJIANG BRILLANT LOGISTICS LTD,ZHEJIANG BRILLANT LOGISTICS LTD,small
ZHEJIANG DONGLIXIN SUPPLY CHAIN MANAGEMENT CO LTD,ZHEJIANG DONGLIXIN SUPPLY CHAIN MANAGEMENT CO LTD,micro
ZHEJIANG JET LOGISTICS CORPORATION LIMITED,ZHEJIANG JET LOGISTICS CORPORATION LIMITED,small
ZHEJIANG TONY INTERNATIONAL LOGISTICS CO LTD,ZHEJIANG TONY INTERNATIONAL LOGISTICS CO LTD,micro
ZHEJIANG YONGTAI LOGISTICS CO LTD,ZHEJIANG YONGTAI LOGISTICS CO LTD,small
ZHENHUA LOGISTICS GROUP CO LTD,ZHENHUA LOGISTICS GROUP CO LTD,medium
ZIM INTEGRATED SHIPPING SERVICES LTD,ZIM INTEGRATED SHIPPING SERVICES LTD,huge
ZIM ISRAEL NAVIGATION CO LTD,ZIM ISRAEL NAVIGATION CO LTD,large
ZIMEX LOGISTICS INC,ZIMEX LOGISTICS INC,small
ZODIAC IMPEX INC,ZODIAC IMPEX INC,small
ZODIAC MARITIME LTD,ZODIAC MARITIME LTD,medium
