,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,loss,params,iteration,train_time
32,32,32,32,5.093657129,"{'colsample_bylevel': 0.3732200777006701, 'colsample_bytree': 0.9240677320104678, 'gamma': 13.512623482970067, 'learning_rate': 0.07272872665103929, 'max_depth': 26, 'min_child_weight': 12, 'n_estimators': 670, 'reg_alpha': 2, 'reg_lambda': 97.06249657152976, 'subsample': 0.291749756699631}",12,669.5442506
33,33,33,33,5.101497654,"{'colsample_bylevel': 0.3876709124912089, 'colsample_bytree': 0.8858446188549474, 'gamma': 14.091539504637604, 'learning_rate': 0.22826706272887576, 'max_depth': 25, 'min_child_weight': 29, 'n_estimators': 131, 'reg_alpha': 1, 'reg_lambda': 17.67101312346551, 'subsample': 0.610730473874498}",55,128.7262764
34,34,34,34,5.115967739,"{'colsample_bylevel': 0.42635665000626394, 'colsample_bytree': 0.6220240036787791, 'gamma': 13.208704926297473, 'learning_rate': 0.24611830192850648, 'max_depth': 20, 'min_child_weight': 12, 'n_estimators': 389, 'reg_alpha': 19, 'reg_lambda': 30.189747738101225, 'subsample': 0.7641439207238347}",57,147.3374351
35,35,35,35,5.126688718,"{'colsample_bylevel': 0.7983046776551026, 'colsample_bytree': 0.8410847148139505, 'gamma': 14.331398140034501, 'learning_rate': 0.023466770478306514, 'max_depth': 17, 'min_child_weight': 12, 'n_estimators': 604, 'reg_alpha': 10, 'reg_lambda': 18.60175394359207, 'subsample': 0.6093874355559441}",91,387.078633
36,36,36,36,5.129374826,"{'colsample_bylevel': 0.632974677143592, 'colsample_bytree': 0.483997144598994, 'gamma': 9.623931730267866, 'learning_rate': 0.22737603046796495, 'max_depth': 24, 'min_child_weight': 16, 'n_estimators': 536, 'reg_alpha': 28, 'reg_lambda': 0.38734558472029335, 'subsample': 0.9193779434846973}",45,260.0016169
37,37,37,37,5.175230955,"{'colsample_bylevel': 0.8700843461855217, 'colsample_bytree': 0.6388877218786435, 'gamma': 1.8386872395762661, 'learning_rate': 0.03253884556670738, 'max_depth': 20, 'min_child_weight': 15, 'n_estimators': 498, 'reg_alpha': 28, 'reg_lambda': 9.762294835007967, 'subsample': 0.49915965354945524}",16,422.9883345
38,38,38,38,5.255566089,"{'colsample_bylevel': 0.5092618254846252, 'colsample_bytree': 0.9998488530105423, 'gamma': 12.878958126812888, 'learning_rate': 0.06464075760126105, 'max_depth': 15, 'min_child_weight': 6, 'n_estimators': 300, 'reg_alpha': 18, 'reg_lambda': 39.333240397328915, 'subsample': 0.8455152486173905}",81,103.1309532
39,39,39,39,5.259994611,"{'colsample_bylevel': 0.4559442754557792, 'colsample_bytree': 0.7973634171854123, 'gamma': 12.791439362839977, 'learning_rate': 0.12415009306774497, 'max_depth': 17, 'min_child_weight': 10, 'n_estimators': 178, 'reg_alpha': 14, 'reg_lambda': 26.91917297525638, 'subsample': 0.5950120563950202}",41,77.7906676
40,40,40,40,5.26036741,"{'colsample_bylevel': 0.48981288267370937, 'colsample_bytree': 0.8693923051922434, 'gamma': 10.704664018383356, 'learning_rate': 0.15431442645826113, 'max_depth': 14, 'min_child_weight': 13, 'n_estimators': 375, 'reg_alpha': 28, 'reg_lambda': 22.391520715204877, 'subsample': 0.651227127748522}",82,84.5650937
41,41,41,41,5.271574214,"{'colsample_bylevel': 0.7043394405429781, 'colsample_bytree': 0.9372217933816879, 'gamma': 14.569478246413098, 'learning_rate': 0.16947717277535485, 'max_depth': 14, 'min_child_weight': 8, 'n_estimators': 191, 'reg_alpha': 12, 'reg_lambda': 31.61295287710896, 'subsample': 0.7886488566681668}",26,58.10650391
