,Unnamed: 0.1,Unnamed: 0,loss,params,iteration,train_time
41,41,41,5.786758068,"{'colsample_bylevel': 0.7695214871138524, 'colsample_bytree': 0.6592103798671738, 'gamma': 9.301875687860445, 'learning_rate': 0.1749512626492743, 'max_depth': 21, 'min_child_weight': 19, 'n_estimators': 646, 'reg_alpha': 25, 'reg_lambda': 57.46226442297698, 'subsample': 0.48032680145261214}",89,357.9447098
42,42,42,5.787738344,"{'colsample_bylevel': 0.6846118925995714, 'colsample_bytree': 0.928246142667442, 'gamma': 9.799554589021099, 'learning_rate': 0.11462193346067058, 'max_depth': 12, 'min_child_weight': 26, 'n_estimators': 411, 'reg_alpha': 4, 'reg_lambda': 49.95557331283536, 'subsample': 0.8590212536852734}",87,42.6450795
43,43,43,5.792308062,"{'colsample_bylevel': 0.35706348886682443, 'colsample_bytree': 0.5977741672847092, 'gamma': 4.7358850005094215, 'learning_rate': 0.18799177180132412, 'max_depth': 24, 'min_child_weight': 11, 'n_estimators': 230, 'reg_alpha': 25, 'reg_lambda': 54.614774397375164, 'subsample': 0.6325970448570174}",7,187.9557018
44,44,44,5.814880605,"{'colsample_bylevel': 0.38145019168022265, 'colsample_bytree': 0.9498565770842711, 'gamma': 8.562414419660353, 'learning_rate': 0.05715957031157545, 'max_depth': 15, 'min_child_weight': 25, 'n_estimators': 683, 'reg_alpha': 17, 'reg_lambda': 82.87700475414336, 'subsample': 0.5554343933320283}",79,118.1751653
45,45,45,5.865262428,"{'colsample_bylevel': 0.9006289577750798, 'colsample_bytree': 0.8721165591831923, 'gamma': 5.423310543221675, 'learning_rate': 0.12691322332830174, 'max_depth': 24, 'min_child_weight': 27, 'n_estimators': 52, 'reg_alpha': 21, 'reg_lambda': 67.37869060076953, 'subsample': 0.5369526228774045}",59,53.57217101
46,46,46,5.883737124,"{'colsample_bylevel': 0.6080517522486169, 'colsample_bytree': 0.9035096946978807, 'gamma': 13.090178194662979, 'learning_rate': 0.040296388341485356, 'max_depth': 14, 'min_child_weight': 8, 'n_estimators': 638, 'reg_alpha': 16, 'reg_lambda': 99.42480577054775, 'subsample': 0.5331209299016659}",83,117.9178149
47,47,47,5.895100339,"{'colsample_bylevel': 0.34968875428514395, 'colsample_bytree': 0.9810127427091917, 'gamma': 12.076089632336993, 'learning_rate': 0.09022527403225863, 'max_depth': 13, 'min_child_weight': 5, 'n_estimators': 426, 'reg_alpha': 23, 'reg_lambda': 74.20232191672403, 'subsample': 0.6955331961319141}",81,61.98922443
48,48,48,5.896852416,"{'colsample_bylevel': 0.9462352855648622, 'colsample_bytree': 0.9966574747454652, 'gamma': 10.627785818271407, 'learning_rate': 0.13455487101524966, 'max_depth': 14, 'min_child_weight': 2, 'n_estimators': 111, 'reg_alpha': 2, 'reg_lambda': 99.01249263432466, 'subsample': 0.7841895290798975}",26,32.9298629
49,49,49,5.92421561,"{'colsample_bylevel': 0.3930185905354117, 'colsample_bytree': 0.6154984649324563, 'gamma': 3.670341272319764, 'learning_rate': 0.054103259678288725, 'max_depth': 22, 'min_child_weight': 21, 'n_estimators': 310, 'reg_alpha': 14, 'reg_lambda': 84.06060470081484, 'subsample': 0.8418171117897635}",19,183.1145841
50,50,50,5.929622916,"{'colsample_bylevel': 0.6944273211772127, 'colsample_bytree': 0.828416428746648, 'gamma': 8.086668567556533, 'learning_rate': 0.26637424803908694, 'max_depth': 11, 'min_child_weight': 24, 'n_estimators': 356, 'reg_alpha': 6, 'reg_lambda': 52.482295370637225, 'subsample': 0.9254128738664845}",4,27.13279611
51,51,51,5.950440371,"{'colsample_bylevel': 0.9435275440206085, 'colsample_bytree': 0.519945615089803, 'gamma': 7.103747828073538, 'learning_rate': 0.060943364325062664, 'max_depth': 22, 'min_child_weight': 18, 'n_estimators': 626, 'reg_alpha': 7, 'reg_lambda': 79.00098395984956, 'subsample': 0.40622299508375864}",9,386.0946186
52,52,52,5.954237125,"{'colsample_bylevel': 0.9456537448183449, 'colsample_bytree': 0.7099224609828142, 'gamma': 6.834115886646059, 'learning_rate': 0.04474298141364621, 'max_depth': 23, 'min_child_weight': 19, 'n_estimators': 131, 'reg_alpha': 1, 'reg_lambda': 73.92013412957078, 'subsample': 0.7446076719465703}",53,167.6502029
53,53,53,5.983517862,"{'colsample_bylevel': 0.8080687593080269, 'colsample_bytree': 0.7884492149986788, 'gamma': 7.050033334614216, 'learning_rate': 0.1349648035431212, 'max_depth': 19, 'min_child_weight': 27, 'n_estimators': 553, 'reg_alpha': 10, 'reg_lambda': 78.07975754984743, 'subsample': 0.2607377509672121}",29,177.7909662
